reference_generic,month,year,ct_studies,month_year,hover_text
adalimumab,April,2010,3,2010-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2010<br><b>No. of CT Studies: </b>3
adalimumab,April,2011,4,2011-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2011<br><b>No. of CT Studies: </b>4
adalimumab,April,2012,2,2012-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2012<br><b>No. of CT Studies: </b>2
adalimumab,April,2013,8,2013-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2013<br><b>No. of CT Studies: </b>8
adalimumab,April,2014,6,2014-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2014<br><b>No. of CT Studies: </b>6
adalimumab,April,2015,6,2015-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2015<br><b>No. of CT Studies: </b>6
adalimumab,April,2016,7,2016-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2016<br><b>No. of CT Studies: </b>7
adalimumab,April,2017,5,2017-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2017<br><b>No. of CT Studies: </b>5
adalimumab,April,2018,1,2018-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2018<br><b>No. of CT Studies: </b>1
adalimumab,April,2019,3,2019-04-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>April-2019<br><b>No. of CT Studies: </b>3
adalimumab,August,2010,2,2010-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2010<br><b>No. of CT Studies: </b>2
adalimumab,August,2011,7,2011-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2011<br><b>No. of CT Studies: </b>7
adalimumab,August,2012,2,2012-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2012<br><b>No. of CT Studies: </b>2
adalimumab,August,2013,1,2013-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2013<br><b>No. of CT Studies: </b>1
adalimumab,August,2014,6,2014-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2014<br><b>No. of CT Studies: </b>6
adalimumab,August,2015,3,2015-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2015<br><b>No. of CT Studies: </b>3
adalimumab,August,2016,5,2016-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2016<br><b>No. of CT Studies: </b>5
adalimumab,August,2017,1,2017-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2017<br><b>No. of CT Studies: </b>1
